fscore,svmRadial,rf,J48,bayesglm,knn,Adaboost,rpart,nnet
1,0.20289855,0.54660348,0.12003583,0.01394512,0.16929699,0.19747082,0.21398176,0.05945669
2,0.19080302,0.53141831,0.31364125,0.01388043,0.13920566,0.28972783,0.21450151,0.04360465
3,0.165267915,0.464579901,0.292158969,0.009806387,0.11846002,0.48951049,0.092333059,0.043213634
4,0.16961562,0.47874016,0.23567921,0.01411509,0.12785388,0.28915663,0.13726393,0.07081416
5,0.139369278,0.481727575,0.274052478,0.009918616,0.15710254,0.553846154,0.143798682,0.067210754
6,0.18543871,0.49765258,0.28519196,0.01374389,0.11917808,0.18181818,0.21748714,0.05322665
7,0.177894048,0.459770115,0.213333333,0.009462366,0.15421228,0.494699647,0.098951782,0.070665571
8,0.17064439,0.50793651,0.30009497,0.01174004,0.1542777,0.31932773,0.1207417,0.06639839
9,0.16708543,0.52313167,0.28685259,0.01107595,0.10950662,0.4991511,0.24114671,0.02263424
10,0.17816813,0.48818898,0.22965779,0.01040944,0.15828678,0.31046931,0.19573901,0.02244879
11,0.1968652,0.51735016,0.25801282,0.01151872,0.13620885,0.56597222,0.17843389,0.04950495
12,0.17606944,0.45592705,0.24935952,0.00940399,0.17217109,0.49105691,0.19467878,0.05022899
13,0.195286195,0.561151079,0.289549377,0.008880431,0.163841808,0.317939609,0.162300319,0.050242887
14,0.19001804,0.54844007,0.36383682,0.01118305,0.12897016,0.6142596,0.16908851,0.03058649
15,0.162418494,0.461538462,0.197857593,0.009375837,0.137871607,0.287756926,0.090115264,0.040713632
16,0.16258219,0.5,0.25065732,0.01087613,0.12753623,0.50927487,0.14333959,0.11044776
17,0.17940619,0.48351648,0.33517089,0.01379046,0.15968841,0.51602024,0.13842697,0.0586185
18,0.164736165,0.493006993,0.285714286,0.009528063,0.15108593,0.26823135,0.089043259,0.018351064
19,0.194622279,0.508580343,0.248640249,0.008882907,0.125233645,0.607407407,0.137862138,0.039424861
20,0.18598559,0.51557093,0.27619048,0.01166949,0.12248804,0.54054054,0.12821807,0.03027823
21,0.186136072,0.502463054,0.299102692,0.008663123,0.154891304,0.321126761,0.197127937,0.053872054
22,0.17872876,0.50420168,0.3069001,0.01090549,0.13243243,0.48264984,0.15830273,0.06400788
23,0.167379352,0.466353678,0.280428432,0.006963367,0.118373984,0.180929095,0.095238095,0.052560647
24,0.15376782,0.58275862,0.16991297,0.01213252,0.16085106,0.32224168,0.13863216,0.04196151
25,0.1829419,0.47040971,0.34252874,0.0125,0.11356844,0.18251314,0.17701149,0.04688713
26,0.17932752,0.47447447,0.2972973,0.01241003,0.11939356,0.30086957,0.10804598,0.07317073
27,0.15125136,0.50578512,0.30846774,0.01006889,0.12375,0.29310345,0.18321589,0.05000702
28,0.16934487,0.51398601,0.25812274,0.01270582,0.14605203,0.51107325,0.1787234,0.04684512
29,0.20332226,0.53140097,0.26267664,0.01015368,0.15244866,0.34380776,0.11970075,0.02526696
30,0.17924528,0.50232558,0.31352459,0.01177702,0.11843712,0.30662021,0.19190031,0.06602954
